subject_id,accuracy,precision,recall,f1,kappa,best_epoch,seed
1,71.875,72.3578671543788,71.875,71.88247488407335,62.5,493,1969
2,54.513888888888886,58.53904524474003,54.51388888888889,53.00187406299741,39.35185185185185,456,1096
3,80.90277777777779,84.86470179544374,80.90277777777779,80.35373940887918,74.53703703703704,458,1352
4,53.125,63.298518916637605,53.125,52.74780704691921,37.5,485,602
5,47.56944444444444,51.22204184704184,47.56944444444444,45.20410341860585,30.09259259259259,473,1773
6,40.97222222222222,53.27050354310039,40.97222222222222,33.2653666768012,21.29629629629629,488,1992
7,73.4375,75.08421916871619,73.43749999999999,73.227209019022,64.58333333333333,447,825
8,76.21527777777779,78.46728816147225,76.21527777777779,75.34163385671323,68.28703703703704,426,112
9,65.625,65.8097636428305,65.625,65.66786208653899,54.16666666666667,418,1006
