subject,accuracy,kappa,auc,duration_seconds,duration_minutes
1,76.94444444444444,0.5388888888888889,0.8476388888888889,639.086996,10.651449933333334
2,72.79411764705883,0.4558823529411765,0.8111764705882354,642.136377,10.702272950000001
3,63.47222222222222,0.2694444444444445,0.6697762345679013,629.061642,10.4843607
4,78.78378378378378,0.5756756756756757,0.9584441197954712,621.993764,10.366562733333334
5,85.94594594594595,0.7189189189189189,0.9269101533966398,680.466555,11.341109249999999
6,78.19444444444444,0.5638888888888889,0.891412037037037,683.772984,11.396216399999998
7,81.80555555555556,0.6361111111111111,0.8974228395061729,682.751042,11.379184033333333
8,74.60526315789474,0.4921052631578947,0.8962326869806094,667.26776,11.121129333333332
9,78.47222222222221,0.5694444444444444,0.8564043209876543,681.740463,11.36234105
