subject_id,accuracy,precision,recall,f1,kappa,best_epoch,seed
1,79.375,81.54891760362477,79.375,79.01347430343019,58.75,1815,1394
2,71.42857142857143,71.44607843137256,71.42857142857142,71.42273933455807,42.85714285714286,1987,241
3,88.125,88.14884302689181,88.12500000000001,88.1231442412877,76.25,1735,401
4,98.75,98.75761837787154,98.75,98.74995116996756,97.5,1241,110
5,97.5,97.61904761904762,97.5,97.49843652282676,95.0,1321,1459
6,90.0,90.00625097671511,90.0,89.99960935974062,80.0,1854,1928
7,92.5,92.66666666666669,92.5,92.49266862170089,85.0,1988,802
8,94.0625,94.0779961705287,94.0625,94.06197810354426,88.125,1301,1917
9,90.625,90.63134864822628,90.625,90.62463377475684,81.25,1847,1126
