subject_id,accuracy,precision,recall,f1,kappa,auc,best_epoch,seed
1,89.23611111111111,89.22921088172873,89.23611111111111,89.2283578490475,85.64814814814815,,1838,1969
2,79.16666666666666,80.7438332004542,79.16666666666666,79.14250253158909,72.22222222222221,,1998,1096
3,96.5277777777778,96.61433218930316,96.5277777777778,96.51071376631174,95.37037037037037,,1898,647
4,84.72222222222221,84.80562448304384,84.72222222222221,84.57403125218976,79.62962962962963,,1916,602
5,76.73611111111111,76.78771845438513,76.73611111111111,76.35030724932437,68.9814814814815,,1950,1773
6,71.875,72.52464464018826,71.875,71.82767224417638,62.5,,1866,1821
7,93.05555555555556,93.2242201862455,93.05555555555556,93.02009543472478,90.74074074074076,,1893,825
8,87.15277777777779,87.84668791223709,87.15277777777779,87.11765665968476,82.87037037037037,,1747,112
9,88.54166666666666,88.95561148709706,88.54166666666666,88.45819769825766,84.72222222222221,,1881,1006
